,full_name,spec,class,ad,q,a,e,dv,per,price,profit,moid,diameter,profitable
797,532 Herculina (1904 NY),S,MBA,3.258719669742947,2.286372730236069,2.772546199989508,0.1753527027810319,10.733275,1686.229234228476,8.37884030763132e-37,6.035861201578454e-38,1.3544,167.791,0
796,354 Eleonora (1893 A),Sl,MBA,3.117824478788171,2.479440621575235,2.798632550181703,0.1140528178969921,11.416972,1710.083231097921,5.863735600857519e-37,3.967666011156614e-38,1.4929,148.97,0
795,471 Papagena (1901 GN),S,MBA,3.55540958675049,2.232244517508479,2.893827052129484,0.2286185465486494,10.449882,1798.072857127608,5.764868476994213e-37,4.264147850514705e-38,1.26726,148.128,0
794,349 Dembowska (1892 T),R,MBA,3.190288822033123,2.654930849815166,2.922609835924145,0.0915890252673213,10.493194,1824.965627925009,4.8430596900146936e-37,3.564269855597584e-38,1.65738,139.77,0
791,674 Rachele (1908 EP),S,MBA,3.493764595015029,2.351323080273692,2.922543837644361,0.1954532725952493,10.483907,1824.903811302762,1.5776487655795862e-37,1.1626290870683056e-38,1.38596,96.171,0
789,346 Hermentaria (1892 P),S,MBA,3.081484218234466,2.511461534413115,2.79647287632379,0.101918149939415,10.285724,1708.10413449279,1.1458498319624302e-37,8.613990133034493e-39,1.53123,86.447,0
787,416 Vaticana (1896 CS),Sl,MBA,3.40080948243467,2.182600024054145,2.791704753244407,0.218183791993901,10.088254,1703.737395507596,1.1074370220970995e-37,8.496130286279174e-39,1.17168,85.47,0
783,675 Ludmilla (1908 DU),S,MBA,3.332327910338151,2.204825408596806,2.768576659467479,0.2036249380860949,9.816591,1682.60919056971,7.786077155964692e-38,6.143365024601348e-39,1.22183,76.0,0
780,389 Industria (1894 BB),S,MBA,2.783564341799968,2.433002308879104,2.608283325339536,0.06720167811432604,10.071815,1538.617169004828,7.298126967351418e-38,5.6133830068502406e-39,1.45103,74.378,0
773,485 Genua (1902 HZ),S,MBA,3.277961134356286,2.219734227942253,2.748847681149269,0.192485548339222,10.276461,1664.655768310308,4.623519020479226e-38,3.481598986338092e-39,1.28699,63.88,0
769,925 Alphonsina (1920 GM),S,MBA,2.916171223331247,2.488413088376543,2.702292155853895,0.07914727762282543,11.939182,1622.545475531213,3.3728323101140153e-38,2.1835654830719426e-39,1.51095,57.505,0
766,584 Semiramis (1906 SY),Sl,MBA,2.927963781180829,1.819556245399976,2.373760013290402,0.2334708499542939,8.978699,1335.837532454409,2.794476475840738e-38,2.4301226541538815e-39,0.854859,54.01,0
765,403 Cyane (1895 BX),S,MBA,3.084388110170952,2.533105433009323,2.808746771590138,0.09813677095025679,10.358145,1719.361929394431,2.727345427194099e-38,2.0355209242701382e-39,1.56608,53.574,0
764,563 Suleika (1905 QK),Sl,MBA,3.35200211969366,2.072799535987685,2.712400827840672,0.2358063326363791,9.588078,1631.658355458091,2.684201328146355e-38,2.17146446961954e-39,1.09018,53.29,0
763,371 Bohemia (1893 AD),S,MBA,2.904113086087335,2.55090674164411,2.727509913865722,0.06474886537490586,10.24151,1645.310743675511,2.6370321001338823e-38,1.9920261833036876e-39,1.53546,52.976,0
762,509 Iolanda (1903 LR),S,MBA,3.356568962139987,2.771595843155952,3.064082402647969,0.09545649269721057,11.425258,1959.066092080199,2.478444250499008e-38,1.6724734402171303e-39,1.77973,51.892,0
761,631 Philippina (1907 YJ),S,MBA,3.021800940191506,2.564602568578508,2.793201754385007,0.08184127245646487,11.665807,1705.107976711759,2.2830732353395361e-38,1.5116863391942368e-39,1.6487,50.491,0
759,737 Arequipa (1912 QB),S,MBA,3.22467117757528,1.954348346617103,2.589509762096191,0.245282495079273,9.533098,1522.035407833843,1.937629060447644e-38,1.5786174580846214e-39,0.963454,47.804,0
758,432 Pythia (1897 DO),S,MBA,2.714850007488201,2.022461834001766,2.368655920744984,0.1461563428065709,9.603585,1331.531344042164,1.829769795649824e-38,1.4816133619007877e-39,1.00665,46.9,0
754,374 Burgundia (1893 AK),S,MBA,3.001583020157554,2.55861232649504,2.780097673326297,0.07966818898353914,10.385835,1693.122995788757,1.580977843581235e-38,1.1769600854468047e-39,1.5492,44.67,0
753,1332 Marconia (1934 AA),Ld,MBA,3.467611691498892,2.658314553214541,3.062963122356716,0.1321101668474642,10.224387,1957.992747672975,1.341420156561499e-38,1.0127099050163732e-39,1.65491,46.796,0
750,519 Sylvania (1903 MP),S,MBA,3.302654845565988,2.280329314013191,2.791492079789589,0.1831145320014406,10.075897,1703.542711873864,1.1418158018275306e-38,8.769064288460247e-40,1.29613,40.078,0
744,456 Abnoba (1900 FH),S,MBA,3.287848923126733,2.290286478784282,2.789067700955508,0.1788343904310203,10.485226,1701.323932853068,9.513737613618629e-39,7.016574807296819e-40,1.2797,37.713,0
743,1036 Ganymed (1924 TD),S,AMO,4.084760171145135,1.243530496959548,2.664145334052341,0.5332347372100545,10.368777,1588.310094030097,9.485008166604466e-39,7.107686773724316e-40,0.343497,37.675,0
742,673 Edda (1908 EA),S,MBA,2.844713124390906,2.783604644245605,2.814158884318255,0.01085732587556157,10.399731,1724.333823882148,9.445034822929103e-39,7.019321624235154e-40,1.80168,37.622,0
740,1102 Pepita (1928 VA),S,MBA,3.407749511417149,2.729347789907603,3.068548650662376,0.1105411382940118,11.411423,1963.35099447382,8.718862279858884e-39,5.890810510934676e-40,1.76322,36.632,0
739,556 Phyllis (1905 PW),S,MBA,2.71988050533653,2.208856718163176,2.464368611749853,0.1036824979706459,9.415119,1413.04804912808,8.469228474049461e-39,6.993332805732218e-40,1.22591,36.279,0
738,597 Bandusia (1906 UB),S,MBA,3.058344453427452,2.282620954450973,2.670482703939212,0.145240315137075,10.266402,1593.980782511934,8.316777700289382e-39,6.271516466412612e-40,1.30102,36.06,0
737,670 Ottegebe (1908 DR),S,MBA,3.344956327223296,2.258031518742352,2.801493922982824,0.193990213500743,9.742694,1712.706531619587,8.196965073079665e-39,6.516050175863043e-40,1.25737,35.886,0
734,1069 Planckia (1927 BC),S,MBA,3.471143662988289,2.782286784372742,3.126715223680516,0.1101566387303862,11.199866,2019.439836606486,8.041041976943929e-39,5.5338260078629375e-40,1.79924,35.657,0
733,376 Geometria (1893 AM),Sl,MBA,2.682679330432721,1.894866118271508,2.288772724352115,0.1721038536895839,8.679281,1264.743426328113,7.911845879639512e-39,7.143732282829723e-40,0.883498,35.465,0
732,384 Burdigala (1894 AV),S,MBA,3.044886361569393,2.257114491267166,2.651000426418279,0.148580110069347,9.586419,1576.569509880226,7.242327972241323e-39,5.860117092510612e-40,1.27543,34.435,0
731,1186 Turnera (1929 PL),Sq,MBA,3.325675421634569,2.716632642906526,3.021154032270547,0.1007963798307756,10.807489,1918.040305321954,7.151223995777176e-39,5.104871418858747e-40,1.72969,34.29,0
730,462 Eriphyla (1900 FQ),S,MBA,3.125141213469451,2.619656390138399,2.872398801803925,0.0879900143067871,10.161004,1778.138282457011,7.141218203729567e-39,5.432136647912306e-40,1.61635,34.274,0
729,720 Bohlinia (1911 MW),Sq,MBA,2.940174364806059,2.831947682158211,2.886061023482135,0.01874989505891821,10.469602,1790.839609088422,6.806548599272779e-39,5.021507645521751e-40,1.84292,33.73,0
727,633 Zelima (1907 ZM),S,MBA,3.27089287075381,2.766702700734629,3.01879778574422,0.08350843710038093,10.901942,1915.796877250845,6.601005849297488e-39,4.670797711215083e-40,1.75656,33.387,0
723,984 Gretia (1922 MH),Sr,MBA,3.355180459497811,2.249328888696672,2.802254674097242,0.1973146090223567,9.844807,1713.404212154664,6.06012913314361e-39,4.766036265890259e-40,1.26151,32.449,0
722,677 Aaltje (1909 FR),Sl,MBA,3.103708577531149,2.805249753926824,2.954479165728987,0.0505095495453736,10.750848,1854.897109908949,6.034392967556808e-39,4.332079147293257e-40,1.82164,32.403,0
721,534 Nassovia (1904 OA),Sq,MBA,3.052357298397121,2.714708275042575,2.883532786719848,0.05854780374088223,10.315556,1788.486917248637,5.995369206746156e-39,4.4903589317225196e-40,1.72963,32.333,0
718,808 Merxia (1901 GY),Sq,MBA,3.097534561828206,2.391403292521193,2.7444689271747,0.1286462496104741,9.810839,1660.679803460194,5.2447257974103085e-39,4.1399891959924e-40,1.4139,30.923,0
717,533 Sara (1904 NZ),S,MBA,3.113470134715816,2.843194871159708,2.978332502937762,0.04537358795391624,10.673189,1877.405986727152,5.19198650162699e-39,3.754037841648433e-40,1.84048,30.819,0
715,484 Pittsburghia (1902 HX),S,MBA,2.821909054594066,2.511680401177739,2.666794727885902,0.05816507925644891,10.665089,1590.679956288431,4.817756599019175e-39,3.4946190819769116e-40,1.49793,30.06,0
714,394 Arduina (1894 BH),S,MBA,3.390645079219786,2.137347120928379,2.763996100074083,0.2267184744323291,9.424564,1678.435149081152,4.774612767518932e-39,3.930526019265679e-40,1.13859,29.97,0
713,1140 Crimea (1929 YC),S,MBA,3.083701872209547,2.459394034146458,2.771547953178002,0.112628005831042,10.763859,1685.318633658614,4.4064529594169054e-39,3.1643669751588012e-40,1.4894,29.179,0
711,1248 Jugurtha (1932 RO),S,MBA,2.767051661909979,2.6769040940669,2.72197787798844,0.01655920288185781,10.595917,1640.307663075587,4.092124116631675e-39,2.9863557429814924e-40,1.69157,28.468,0
709,1659 Punkaharju (1940 YL),S,MBA,3.50638482353705,2.062736858221956,2.784560840879503,0.2592236348585435,10.3062,1697.201840081124,3.897779370017482e-39,2.9269545472328186e-40,1.08185,28.01,0
707,378 Holmia (1893 AP),S,MBA,3.137941696069616,2.414832503182276,2.776387099625946,0.130224851027575,9.985229,1689.734430901046,3.823528750406179e-39,2.9633400046233654e-40,1.42166,27.831,0
706,470 Kilia (1901 GJ),S,MBA,2.631293662808242,2.179100917378854,2.405197290093548,0.09400325438829182,9.463488,1362.462273915624,3.7902415532430685e-39,3.114701000889953e-40,1.17956,27.75,0
705,862 Franzia (1917 BF),S,MBA,3.033405761050276,2.5733114861893,2.803358623619788,0.08206125876732945,10.934757,1714.416806436873,3.5039722608334915e-39,2.4757910508101324e-40,1.61695,27.033,0
704,352 Gisela (1893 B),Sl,MBA,2.522494033325193,1.865678954882597,2.194086494103895,0.1496784835528673,8.455261,1187.077416971299,3.39279029330174e-39,3.157723853785721e-40,0.872211,26.744,0
703,793 Arizona (1907 ZD),S,MBA,3.14474978074053,2.444312044577281,2.794530912658906,0.1253229536646645,10.956434,1706.325197038507,3.35185285370228e-39,2.3640597802767476e-40,1.47097,26.636,0
701,945 Barcelona (1921 JB),Sq,MBA,3.065584403703391,2.205726512917394,2.635655458310392,0.1631203137866158,13.966973,1562.900689169264,2.982040861836528e-39,1.6514639785002864e-40,1.23024,25.618,0
700,443 Photographica (1899 EF),Sl,MBA,2.305573310435958,2.124811337232246,2.215192323834102,0.04080051453294253,9.079789,1204.247029114178,2.9424075437538455e-39,2.5306050148479986e-40,1.13169,25.504,0
699,600 Musa (1906 UM),S,MBA,2.810740376718397,2.510547156728229,2.660643766723313,0.05641364389789524,10.406592,1585.179776686689,2.8098133635012467e-39,2.0894848013598548e-40,1.51488,25.115,0
698,847 Agnia (1915 XX),S,MBA,3.048758467830687,2.515902569121882,2.782330518476285,0.0957571171308251,9.955508,1695.16316175895,2.7485081071766894e-39,2.1363391239353735e-40,1.5244,24.931,0
697,897 Lysistrata (1918 DZ),Sl,MBA,2.784106573189343,2.300702656875298,2.542404615032321,0.0950682502414942,10.499327,1480.694383958355,2.5566957676298798e-39,1.8863458448120217e-40,1.29008,24.337,0
696,355 Gabriella (1893 E),S,MBA,2.806610119871381,2.268143375242117,2.537376747556749,0.1061069754713715,9.508323,1476.304217346011,2.4642304297153715e-39,2.012646760390897e-40,1.28959,24.04,0
695,453 Tea (1900 FA),S,MBA,2.420834367703452,1.945561644210663,2.183198005957057,0.10884782832248,8.742007,1178.251810756393,2.4473557003650588e-39,2.194187655213651e-40,0.939155,23.985,0
692,512 Taurinensis (1903 LV),S,MCA,2.74603543771084,1.63204513884958,2.18904028828021,0.2544471896715184,8.217979,1182.984512191839,2.1834825473689123e-39,2.101811798292489e-40,0.651093,23.09,0
691,477 Italia (1901 GR),S,MBA,2.869164796713713,1.962200834809878,2.415682815761795,0.1877241407659351,8.887876,1371.381516492849,2.1546736052146926e-39,1.8932133990333857e-40,0.954584,22.988,0
690,625 Xenia (1907 XN),Sa,MBA,3.247604005082337,2.040601020505958,2.644102512794147,0.2282443624511521,9.694876,1570.420154207968,2.0072829787126333e-39,1.6061594121195844e-40,1.03216,28.287,0
689,1406 Komppa (1936 RF),Ld,MBA,2.958221521534377,2.439049045980333,2.698635283757355,0.09619167115298212,10.5176,1619.253029826768,1.8650810755162678e-39,1.371796933198086e-40,1.48792,24.243,0
688,622 Esther (1906 WP),S,MBA,3.001447130382368,1.827223019832492,2.41433507510743,0.2431775362617442,8.81679,1370.234009382169,1.8563614860496558e-39,1.6459777678573815e-40,0.856782,21.874,0
687,1336 Zeelandia (1934 RW),S,MBA,3.03488728298492,2.663270249062343,2.849078766023632,0.0652170516228356,10.227366,1756.528136523981,1.7482882415810484e-39,1.3212567619499172e-40,1.64977,21.441,0
686,797 Montana (1914 VR),S,MBA,2.689081317346762,2.380152637358131,2.534616977352446,0.06094188643668866,9.725412,1473.89632559998,1.689277998018003e-39,1.3476949060256295e-40,1.36883,21.197,0
685,994 Otthild (1923 NL),S,MBA,2.823480569292639,2.234911880798124,2.529196225045381,0.116354888297359,10.517579,1469.170550289308,1.5929080059852437e-39,1.1734057850213334e-40,1.23219,20.786,0
684,716 Berkeley (1911 MD),S,MBA,3.057973068487488,2.571850751737566,2.814911910112527,0.08634769617541749,10.368194,1725.025978141741,1.3701437165233183e-39,1.0215028843333874e-40,1.58188,19.768,0
683,1423 Jose (1936 QM),S,MBA,3.088988255057811,2.631774244355628,2.86038124970672,0.07992186544172428,10.170349,1766.990890753555,1.3314227963908214e-39,1.0119018540881018e-40,1.63418,19.58,0
682,1385 Gelria (1935 MJ),S,MBA,3.035101724006199,2.447246594881869,2.741174159444034,0.1072268843442547,10.030908,1657.690202260137,1.3204372916126694e-39,1.018815504448269e-40,1.459,19.526,0
681,1329 Eliane (1933 FL),S,MBA,3.06884445221067,2.164657818597322,2.616751135403996,0.1727689388149919,10.237928,1546.115944097806,1.3085038741920461e-39,9.900823328024202e-41,1.15143,19.467,0
680,1278 Kenya (1933 LA),S,MBA,3.037866187909145,1.772771777278282,2.405318982593714,0.2629785113296451,8.895292,1362.565677202976,1.2872452000184067e-39,1.1306392922158567e-40,0.787443,19.361,0
679,1252 Celestia (1933 DG),S,MBA,3.253548679578965,2.134994748574965,2.694271714076965,0.2075800159946389,13.983322,1615.327230853303,1.223695761859996e-39,6.767212095693676e-41,1.27527,19.037,0
678,4628 Laplace (1986 RU4),S,MBA,2.953527630547097,2.339036887898822,2.646282259222959,0.1161045350522643,10.258106,1572.362489894974,1.1633914267206364e-39,8.780960213784093e-41,1.37853,18.719,0
677,2308 Schilt (1967 JM),S,MBA,2.987221517897839,2.109563240224247,2.548392379061043,0.1721984190670366,10.079831,1485.92836601568,9.867236796019108e-40,7.589938120801023e-41,1.12684,17.719,0
676,1618 Dawn (1948 NF),S,MBA,2.94750442128464,2.790245460955774,2.868874941120207,0.02740777544445032,10.428326,1774.867154455583,9.497728847150204e-40,7.035972316273137e-41,1.7732,17.495,0
675,1977 Shura (1970 QY),Sq,MBA,2.984498239225468,2.575521927685694,2.780010083455581,0.07355662376436631,10.316106,1693.042981015732,9.042660793938827e-40,6.777920053296837e-41,1.56672,17.211,0
674,1458 Mineura (1937 RC),S,MBA,3.099479875343215,2.155208548381509,2.627344211862362,0.1797007264404787,9.978524,1555.513869877838,9.009600959622318e-40,6.997603833502722e-41,1.18132,17.19,0
673,1152 Pawona (1930 AD),Sl,MBA,2.528250389069224,2.324533304968881,2.426391847019053,0.04197942808590855,9.615014,1380.510880562816,8.915588494454262e-40,7.20436392357016e-41,1.32797,17.13,0
672,1635 Bohrmann (1924 QW),S,MBA,3.01961820709242,2.689088431193811,2.854353319143115,0.05789924002783121,10.235583,1761.40823381456,8.91090511764871e-40,6.728496027138018e-41,1.67566,17.127,0
671,1848 Delvaux (1933 QD),S,MBA,3.002002201664068,2.737969247836186,2.869985724750127,0.04599900124082836,10.307932,1775.898055544762,8.760358316911796e-40,6.566727942041418e-41,1.72121,17.03,0
